date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2013-05-12 | 0.5
2011-12-12 | 1234
2011-01-03 | abc
2011-01-03 | 
2011-01-03 | .
2011-01-03 | 0.1.2
2011-01-03 | 10.5
2011-01-03 | 999.99
2014-04-31 | 1
2020-02-30 | 5
2012-01-11 | 1,5
2011-01-03 | 3.14abc
1899-01-01 | 1
1905-01-01 | 1
2099-01-01 | 1
2100-01-01 | 1
2011-01-03 | -100
2011-13-01 | 1
2011-01-32 | 1
2011-01-03 | 1234.56
2011-01-03 | 1..2
2011-01-03 | -1.5
2011-01-03 | 1.234,56
2011-01-03 | 1a
2011-01-03 | a1
| 100
